code_depart,code_arrive,passengers
KOA,SEA,7309
MOB,CLT,3475
GRB,ORD,6341
PHL,ATL,58302
PHX,MZT,3897
IAD,RDU,8180
BOS,STL,4512
HNL,ICN,21526
PHL,BGR,4092
DCA,CRW,1017
MDW,JAN,1198
ATL,MTY,4635
DFW,MSY,23952
SEA,DCA,7730
ROA,IAD,1096
ATW,AZA,1436
BNA,MSP,6757
AUS,OAK,3234
CLT,LYH,6382
ATL,CVG,20509
EGE,LAX,2637
TUL,IAH,9005
DEN,OMA,28078
CLT,DTW,28924
AVL,PGD,1081
OTZ,OME,1609
IAH,YUL,1786
STL,DCA,8493
AUS,ATL,29660
DEN,MKE,19033
IAH,GJT,1216
MSP,CVG,8059
LAX,PIT,3611
MIA,POP,4555
DFW,BOS,32535
YOW,TPA,1109
SFO,SEA,65056
IAD,ORF,5791
PAP,MIA,19092
ORD,HSV,1416
DTW,ATW,3445
PIT,LGA,9483
TUS,SAN,6404
OKC,MSP,2518
SHV,ATL,6631
DEN,PSC,3497
LEX,CLT,5998
MSP,DIK,1681
FLL,MSY,7716
CLT,DAY,8322
PHX,SJD,9962
MSP,BRD,1435
ZIH,IAH,1101
EWR,BNA,8714
AGU,IAH,1085
JAN,MCO,2457
EWR,DEL,6777
GUM,HKG,1382
LAX,PVR,9688
CLT,NAS,6376
SEA,OGG,16718
TPA,LAS,4701
IAH,LHR,21958
FLL,ISP,7157
CUR,MIA,10847
AUS,CUN,1414
BFL,SFO,1202
BWI,DTW,21061
NAN,LAX,8149
YYZ,SAN,2704
FSM,DFW,3939
LAN,DTW,5323
ORD,BRU,3005
ABE,ORD,1927
GJT,DEN,5755
DCA,GSO,2594
BNA,BWI,14128
PIT,LAS,5133
BQN,JFK,6689
LAX,BWI,7904
ROC,LGA,4361
IAH,BRO,3678
LAS,PHX,59661
SYD,HNL,15635
PSC,LAS,1510
MIA,NAS,15010
CDG,SFO,12329
PHX,HOU,13415
LGA,GRR,1795
PIT,BOS,8788
ORD,PHL,43524
IAH,FRA,17567
BWI,GRR,4414
ATL,ALB,6882
PHL,DTW,25549
GDL,SJC,10252
SLC,TUS,3630
DFW,SFO,57186
MAF,DAL,11554
SLC,IAH,15584
JFK,ORY,2209
PUJ,BWI,2700
SAN,LHR,6398
BOG,IAD,3194
LAX,COS,2484
BZN,MSP,5910
EWR,DCA,6094
PHL,SXM,3523
CLT,CRW,4574
CUN,BWI,6834
COS,ORD,3074
EYW,FLL,1406
LAX,NAN,8554
SEA,DEN,52301
MHH,PBI,1412
DTW,MIA,14266
PDX,ONT,4076
PHX,YYC,16509
HPN,PHL,3267
XNA,ATL,6999
DFW,GJT,2618
SEA,KOA,7194
DEN,YQR,2426
MUC,SFO,8096
BLI,LAX,1519
ORD,AMS,6378
LAX,BNE,15333
DTW,PUJ,1456
TUL,DEN,11956
ATL,FCO,5763
SCK,LAS,4131
SLC,ORD,15255
ORF,BWI,8018
GTF,HLN,2147
FLO,CLT,3922
AZO,ORD,2878
ILG,RSW,1393
SNA,SJD,2440
CUN,FLL,8747
SAL,FLL,1418
JFK,PHL,2027
TUS,MDW,2424
GIG,MCO,2274
HNL,FUK,8856
PHL,SFO,27033
OGG,DEN,3381
OAK,GEG,5606
CUU,DFW,1854
SMF,ORD,3782
MSP,TUS,2576
YEG,OGG,2248
ANC,DUT,1606
ORH,MCO,2295
FAR,MSP,13865
AUS,DFW,47058
DFW,TYS,4996
IND,MIA,3470
PHX,MSP,59280
EWR,PVD,3800
SBN,LAS,1347
IAH,LOS,3732
IAH,EZE,5482
KEF,BOS,4274
DFW,SGF,8636
EWR,MEX,5917
ORD,RSW,25340
CMH,JFK,1936
FLL,MCO,8790
OGG,HNL,92138
MCO,DAY,2510
SAL,IAD,12902
CID,PIE,1617
OAK,OGG,9657
LAX,SAL,14275
MBJ,ORD,4948
OKC,BWI,3137
DCA,ILM,1071
MLM,LAX,4894
DTW,BDL,8388
SAN,YYZ,2517
HLN,SEA,1676
LIT,PHX,2936
GEG,SLC,8609
DEN,LHR,5929
JAX,PHL,5964
SSB,SPB,3247
MCO,NAS,3473
MDW,BNA,14957
CRP,IAH,6922
ORD,JFK,13007
SAV,IAH,1375
HAM,EWR,1594
YVR,EWR,2884
CMH,ATL,26502
FLL,SJU,28416
BWI,JAX,8532
BOS,JFK,35358
IAH,TAM,1115
CLT,GPT,3069
SGF,ORD,5842
ATL,BOG,3711
PGD,LEX,1631
LAS,DLH,1312
FCO,PHL,4812
EGE,IAH,2576
SAL,SFO,5749
MSP,YEG,3538
TPA,HPN,1918
FAR,DFW,2332
DEN,MTJ,4045
PIE,FAR,1333
MHT,TPA,4003
YOW,IAD,3888
ALB,DTW,4468
SLC,HLN,2961
LGA,RSW,10438
DFW,RDU,16486
IDA,SLC,5236
ORD,TOL,2921
RSW,ILG,1187
WAW,JFK,4033
DTW,MQT,1921
FLL,KIN,8740
MKE,BOS,5028
STS,PDX,1635
ITO,HNL,46247
PIE,ROA,1556
DFW,SAF,1973
CLT,LAS,22318
EWR,STT,3103
BRO,IAH,4046
ATL,HOU,35600
OMA,SEA,1513
SMF,LAX,34808
DFW,PTY,1420
DEN,EWR,29216
KTN,SEA,6126
PHL,MIA,23491
CPR,SLC,1852
MCO,HOU,15883
SGF,DFW,9112
AUS,CLE,1068
YYZ,LAX,18418
AKN,DUT,1875
GUC,DFW,2788
NRT,SJC,4338
BOS,SRQ,2339
SFB,SPI,1161
CLE,MSP,5181
BOS,ZRH,4841
LAX,TUS,16498
SMF,SNA,17893
MCO,LGA,32698
DTW,TUL,1629
DCA,CMH,6522
SFB,SBN,1381
CTG,MIA,3078
EWR,BOS,35207
HNL,TPE,3860
DTW,DEN,26701
MEM,SLC,5288
STL,CLE,2317
CZM,MSP,3192
BQK,ATL,2040
OGG,MKK,1031
RFD,AZA,1637
YYC,DEN,8219
MSP,ABQ,1314
SAN,PDX,14587
DEN,CLE,11746
JFK,STT,7501
LAN,MSP,4373
RDU,STL,2715
SRQ,ATL,22315
DTW,DSM,3195
ORD,AUH,8821
RDU,BOS,12494
IAH,PSP,1688
SWF,MCO,2474
EZE,DFW,6998
TLH,LAX,1043
CAN,SPN,2299
CLE,PVD,1355
AUS,DTW,4896
MEX,CLT,3178
LAX,AUS,16274
MSN,ORD,10897
GCM,CLT,5513
OGG,LIH,8059
POS,JFK,12986
SFB,XNA,1196
CHS,BOS,2402
DCA,SYR,4991
MBJ,DFW,2930
EWR,HKG,6164
SLC,SEA,34957
GPT,CLT,2838
DEN,YVR,7523
BZN,ATL,1941
SLC,PDX,19328
YYC,HNL,1865
